annotation_id,query_id,job_id,query_text,job_title,company,system_relevance_grade,annotator_1_grade,annotator_2_grade,adjudicated_grade,guideline
20260607_sbert_final_validation-ann-0022,sbert-v2-profile-04201,sbert-v2-job-220b0c4219dd3671f1c3,"Mahasiswa atau early-career candidate untuk Ui Ux Product di domain software development. Memiliki minat pada machine_learning business_analysis data_analysis it_support, pengalaman proyek digital, dan mencari lowongan yang sesuai skill inti.","Sales Associate (Part-Time), Washington DC",Ridealso,1,,,,"grade 0=irrelevant, 1=marginal, 2=relevant, 3=highly relevant"
20260607_sbert_final_validation-ann-0023,sbert-v2-profile-04202,sbert-v2-job-be2020f020e1c64fce52,"Mahasiswa atau early-career candidate untuk Ui Ux Product di domain data ai. Memiliki minat pada machine_learning business_analysis data_analysis it_support, pengalaman proyek digital, dan mencari lowongan yang sesuai skill inti.",Corporate Paralegal,barnes,3,,,,"grade 0=irrelevant, 1=marginal, 2=relevant, 3=highly relevant"
20260607_sbert_final_validation-ann-0024,sbert-v2-profile-04202,sbert-v2-job-767208cc626dab1de380,"Mahasiswa atau early-career candidate untuk Ui Ux Product di domain data ai. Memiliki minat pada machine_learning business_analysis data_analysis it_support, pengalaman proyek digital, dan mencari lowongan yang sesuai skill inti.",Staff Software Developer,confluent,0,,,,"grade 0=irrelevant, 1=marginal, 2=relevant, 3=highly relevant"
20260607_sbert_final_validation-ann-0025,sbert-v2-profile-04202,sbert-v2-job-9e8e78f6d6c3cfe2c022,"Mahasiswa atau early-career candidate untuk Ui Ux Product di domain data ai. Memiliki minat pada machine_learning business_analysis data_analysis it_support, pengalaman proyek digital, dan mencari lowongan yang sesuai skill inti.",MA - Worcester - RN Case Manager,abby-care,0,,,,"grade 0=irrelevant, 1=marginal, 2=relevant, 3=highly relevant"
20260607_sbert_final_validation-ann-0026,sbert-v2-profile-04202,sbert-v2-job-e662619c4cc3404510e4,"Mahasiswa atau early-career candidate untuk Ui Ux Product di domain data ai. Memiliki minat pada machine_learning business_analysis data_analysis it_support, pengalaman proyek digital, dan mencari lowongan yang sesuai skill inti.",ブランド & マーケティング,citadel-ai,0,,,,"grade 0=irrelevant, 1=marginal, 2=relevant, 3=highly relevant"
20260607_sbert_final_validation-ann-0027,sbert-v2-profile-04202,sbert-v2-job-6c846c14194c68ad954e,"Mahasiswa atau early-career candidate untuk Ui Ux Product di domain data ai. Memiliki minat pada machine_learning business_analysis data_analysis it_support, pengalaman proyek digital, dan mencari lowongan yang sesuai skill inti.",Marketing & Communications Designer,aven,0,,,,"grade 0=irrelevant, 1=marginal, 2=relevant, 3=highly relevant"
20260607_sbert_final_validation-ann-0028,sbert-v2-profile-04202,sbert-v2-job-eb96769248e6c3f30595,"Mahasiswa atau early-career candidate untuk Ui Ux Product di domain data ai. Memiliki minat pada machine_learning business_analysis data_analysis it_support, pengalaman proyek digital, dan mencari lowongan yang sesuai skill inti.",BRAIINS FORGE: Konstruktér 3D,braiins,0,,,,"grade 0=irrelevant, 1=marginal, 2=relevant, 3=highly relevant"
20260607_sbert_final_validation-ann-0029,sbert-v2-profile-04202,sbert-v2-job-83ae0571e108c700132d,"Mahasiswa atau early-career candidate untuk Ui Ux Product di domain data ai. Memiliki minat pada machine_learning business_analysis data_analysis it_support, pengalaman proyek digital, dan mencari lowongan yang sesuai skill inti.",Senior Project Manager (Connected service),42dot,0,,,,"grade 0=irrelevant, 1=marginal, 2=relevant, 3=highly relevant"
20260607_sbert_final_validation-ann-0030,sbert-v2-profile-04202,sbert-v2-job-e65c7747f11300cc6949,"Mahasiswa atau early-career candidate untuk Ui Ux Product di domain data ai. Memiliki minat pada machine_learning business_analysis data_analysis it_support, pengalaman proyek digital, dan mencari lowongan yang sesuai skill inti.",Product & Business Operations Associate,blossom-health,1,,,,"grade 0=irrelevant, 1=marginal, 2=relevant, 3=highly relevant"
20260607_sbert_final_validation-ann-0031,sbert-v2-profile-04202,sbert-v2-job-d063ad6584ed25ca3feb,"Mahasiswa atau early-career candidate untuk Ui Ux Product di domain data ai. Memiliki minat pada machine_learning business_analysis data_analysis it_support, pengalaman proyek digital, dan mencari lowongan yang sesuai skill inti.",Marketing Communications and Production Specialist,billups,1,,,,"grade 0=irrelevant, 1=marginal, 2=relevant, 3=highly relevant"
20260607_sbert_final_validation-ann-0032,sbert-v2-profile-04202,sbert-v2-job-51976a1749ec71667117,"Mahasiswa atau early-career candidate untuk Ui Ux Product di domain data ai. Memiliki minat pada machine_learning business_analysis data_analysis it_support, pengalaman proyek digital, dan mencari lowongan yang sesuai skill inti.",Venture Manager,almedia,1,,,,"grade 0=irrelevant, 1=marginal, 2=relevant, 3=highly relevant"
20260607_sbert_final_validation-ann-0033,sbert-v2-profile-04202,sbert-v2-job-e87483dda4915b1ef6b8,"Mahasiswa atau early-career candidate untuk Ui Ux Product di domain data ai. Memiliki minat pada machine_learning business_analysis data_analysis it_support, pengalaman proyek digital, dan mencari lowongan yang sesuai skill inti.",Receiving Associate (Houston),base-power,1,,,,"grade 0=irrelevant, 1=marginal, 2=relevant, 3=highly relevant"
20260607_sbert_final_validation-ann-0034,sbert-v2-profile-04203,sbert-v2-job-5ee105346995c7775324,"Mahasiswa atau early-career candidate untuk Data Analysis di domain software development. Memiliki minat pada data_analysis machine_learning business_analysis cybersecurity, pengalaman proyek digital, dan mencari lowongan yang sesuai skill inti.",Data Full Stack,alan,3,,,,"grade 0=irrelevant, 1=marginal, 2=relevant, 3=highly relevant"
20260607_sbert_final_validation-ann-0035,sbert-v2-profile-04203,sbert-v2-job-f209daae727b9d3c4710,"Mahasiswa atau early-career candidate untuk Data Analysis di domain software development. Memiliki minat pada data_analysis machine_learning business_analysis cybersecurity, pengalaman proyek digital, dan mencari lowongan yang sesuai skill inti.",Key Account Manager 🇧🇪 (Dutch speaking),alan,0,,,,"grade 0=irrelevant, 1=marginal, 2=relevant, 3=highly relevant"
20260607_sbert_final_validation-ann-0036,sbert-v2-profile-04203,sbert-v2-job-256e043c760a6b142536,"Mahasiswa atau early-career candidate untuk Data Analysis di domain software development. Memiliki minat pada data_analysis machine_learning business_analysis cybersecurity, pengalaman proyek digital, dan mencari lowongan yang sesuai skill inti.","Keyholder, University Village",away,0,,,,"grade 0=irrelevant, 1=marginal, 2=relevant, 3=highly relevant"
20260607_sbert_final_validation-ann-0037,sbert-v2-profile-04203,sbert-v2-job-805ccf29295bd25af899,"Mahasiswa atau early-career candidate untuk Data Analysis di domain software development. Memiliki minat pada data_analysis machine_learning business_analysis cybersecurity, pengalaman proyek digital, dan mencari lowongan yang sesuai skill inti.",Head of Disputes,cardless,0,,,,"grade 0=irrelevant, 1=marginal, 2=relevant, 3=highly relevant"
20260607_sbert_final_validation-ann-0038,sbert-v2-profile-04203,sbert-v2-job-99f25cd776d1c7e8ad3b,"Mahasiswa atau early-career candidate untuk Data Analysis di domain software development. Memiliki minat pada data_analysis machine_learning business_analysis cybersecurity, pengalaman proyek digital, dan mencari lowongan yang sesuai skill inti.",Mechanical Build Engineer,amca,0,,,,"grade 0=irrelevant, 1=marginal, 2=relevant, 3=highly relevant"
20260607_sbert_final_validation-ann-0039,sbert-v2-profile-04203,sbert-v2-job-6167a107d5dadb198013,"Mahasiswa atau early-career candidate untuk Data Analysis di domain software development. Memiliki minat pada data_analysis machine_learning business_analysis cybersecurity, pengalaman proyek digital, dan mencari lowongan yang sesuai skill inti.",Senior Site Reliability Engineer,clickup,0,,,,"grade 0=irrelevant, 1=marginal, 2=relevant, 3=highly relevant"
20260607_sbert_final_validation-ann-0040,sbert-v2-profile-04203,sbert-v2-job-38c916509a138b55a729,"Mahasiswa atau early-career candidate untuk Data Analysis di domain software development. Memiliki minat pada data_analysis machine_learning business_analysis cybersecurity, pengalaman proyek digital, dan mencari lowongan yang sesuai skill inti.","Senior Manager, Enterprise Security",abridge,0,,,,"grade 0=irrelevant, 1=marginal, 2=relevant, 3=highly relevant"
20260607_sbert_final_validation-ann-0041,sbert-v2-profile-04203,sbert-v2-job-77986a28011a452e328c,"Mahasiswa atau early-career candidate untuk Data Analysis di domain software development. Memiliki minat pada data_analysis machine_learning business_analysis cybersecurity, pengalaman proyek digital, dan mencari lowongan yang sesuai skill inti.",Head of Demand Generation,ashby,1,,,,"grade 0=irrelevant, 1=marginal, 2=relevant, 3=highly relevant"
20260607_sbert_final_validation-ann-0042,sbert-v2-profile-04203,sbert-v2-job-f6603d950a89702d245a,"Mahasiswa atau early-career candidate untuk Data Analysis di domain software development. Memiliki minat pada data_analysis machine_learning business_analysis cybersecurity, pengalaman proyek digital, dan mencari lowongan yang sesuai skill inti.","Director, Mid-Market Sales",avoca,1,,,,"grade 0=irrelevant, 1=marginal, 2=relevant, 3=highly relevant"
20260607_sbert_final_validation-ann-0043,sbert-v2-profile-04203,sbert-v2-job-4b3702787a089968b715,"Mahasiswa atau early-career candidate untuk Data Analysis di domain software development. Memiliki minat pada data_analysis machine_learning business_analysis cybersecurity, pengalaman proyek digital, dan mencari lowongan yang sesuai skill inti.",Enterprise Marketing Manager,bobyard,1,,,,"grade 0=irrelevant, 1=marginal, 2=relevant, 3=highly relevant"
20260607_sbert_final_validation-ann-0044,sbert-v2-profile-04203,sbert-v2-job-3d34bffdd43aba5b1aea,"Mahasiswa atau early-career candidate untuk Data Analysis di domain software development. Memiliki minat pada data_analysis machine_learning business_analysis cybersecurity, pengalaman proyek digital, dan mencari lowongan yang sesuai skill inti.",Executive Assistant to the CEO,Foundational Industries,1,,,,"grade 0=irrelevant, 1=marginal, 2=relevant, 3=highly relevant"
20260607_sbert_final_validation-ann-0045,sbert-v2-profile-04204,sbert-v2-job-9ab59c70eccd3533fce6,"Mahasiswa atau early-career candidate untuk Machine Learning di domain software development. Memiliki minat pada machine_learning cloud data_analysis cybersecurity, pengalaman proyek digital, dan mencari lowongan yang sesuai skill inti.",Sr. Machine Learning Engineer — ML/AI Team,a-place-for-mom,3,,,,"grade 0=irrelevant, 1=marginal, 2=relevant, 3=highly relevant"
20260607_sbert_final_validation-ann-0046,sbert-v2-profile-04204,sbert-v2-job-37b327c6709032ad79f0,"Mahasiswa atau early-career candidate untuk Machine Learning di domain software development. Memiliki minat pada machine_learning cloud data_analysis cybersecurity, pengalaman proyek digital, dan mencari lowongan yang sesuai skill inti.",Healthcare Account Executive - Seattle,a-place-for-mom,0,,,,"grade 0=irrelevant, 1=marginal, 2=relevant, 3=highly relevant"
20260607_sbert_final_validation-ann-0047,sbert-v2-profile-04204,sbert-v2-job-e5088c20d182cbd5536f,"Mahasiswa atau early-career candidate untuk Machine Learning di domain software development. Memiliki minat pada machine_learning cloud data_analysis cybersecurity, pengalaman proyek digital, dan mencari lowongan yang sesuai skill inti.",Assistant Accountant,airtasker,0,,,,"grade 0=irrelevant, 1=marginal, 2=relevant, 3=highly relevant"
20260607_sbert_final_validation-ann-0048,sbert-v2-profile-04204,sbert-v2-job-8e6cc39a12a9c5a2709e,"Mahasiswa atau early-career candidate untuk Machine Learning di domain software development. Memiliki minat pada machine_learning cloud data_analysis cybersecurity, pengalaman proyek digital, dan mencari lowongan yang sesuai skill inti.",Attorney,atticus,0,,,,"grade 0=irrelevant, 1=marginal, 2=relevant, 3=highly relevant"
20260607_sbert_final_validation-ann-0049,sbert-v2-profile-04204,sbert-v2-job-cd8aa95ee839a50f46b0,"Mahasiswa atau early-career candidate untuk Machine Learning di domain software development. Memiliki minat pada machine_learning cloud data_analysis cybersecurity, pengalaman proyek digital, dan mencari lowongan yang sesuai skill inti.","Regional Sales Director, Commercial",braintrust,0,,,,"grade 0=irrelevant, 1=marginal, 2=relevant, 3=highly relevant"
20260607_sbert_final_validation-ann-0050,sbert-v2-profile-04204,sbert-v2-job-86ddb4ec2e485bc17bd3,"Mahasiswa atau early-career candidate untuk Machine Learning di domain software development. Memiliki minat pada machine_learning cloud data_analysis cybersecurity, pengalaman proyek digital, dan mencari lowongan yang sesuai skill inti.","AI/ML Engineer, Deployed",brainco,1,,,,"grade 0=irrelevant, 1=marginal, 2=relevant, 3=highly relevant"
20260607_sbert_final_validation-ann-0051,sbert-v2-profile-04204,sbert-v2-job-5399f066c6ca7f20c02b,"Mahasiswa atau early-career candidate untuk Machine Learning di domain software development. Memiliki minat pada machine_learning cloud data_analysis cybersecurity, pengalaman proyek digital, dan mencari lowongan yang sesuai skill inti.",Scientist - Ensemble Structural Informatics,astera,1,,,,"grade 0=irrelevant, 1=marginal, 2=relevant, 3=highly relevant"
20260607_sbert_final_validation-ann-0052,sbert-v2-profile-04204,sbert-v2-job-4d8b601e240b0aa54a11,"Mahasiswa atau early-career candidate untuk Machine Learning di domain software development. Memiliki minat pada machine_learning cloud data_analysis cybersecurity, pengalaman proyek digital, dan mencari lowongan yang sesuai skill inti.",Enterprise Account Executive,cambio,1,,,,"grade 0=irrelevant, 1=marginal, 2=relevant, 3=highly relevant"
20260607_sbert_final_validation-ann-0053,sbert-v2-profile-04204,sbert-v2-job-f1536eeeaefc551bf5c8,"Mahasiswa atau early-career candidate untuk Machine Learning di domain software development. Memiliki minat pada machine_learning cloud data_analysis cybersecurity, pengalaman proyek digital, dan mencari lowongan yang sesuai skill inti.","Vice President, Strategic Finance",atomic,1,,,,"grade 0=irrelevant, 1=marginal, 2=relevant, 3=highly relevant"
20260607_sbert_final_validation-ann-0054,sbert-v2-profile-04205,sbert-v2-job-497525f9deea1b2ce787,"Mahasiswa atau early-career candidate untuk Cloud Devops di domain software development. Memiliki minat pada cloud machine_learning business_analysis it_support, pengalaman proyek digital, dan mencari lowongan yang sesuai skill inti.",Senior Cloud Architect (Technical) (Multiple),cloudscaler,3,,,,"grade 0=irrelevant, 1=marginal, 2=relevant, 3=highly relevant"
20260607_sbert_final_validation-ann-0055,sbert-v2-profile-04205,sbert-v2-job-c10137db647f2d12f080,"Mahasiswa atau early-career candidate untuk Cloud Devops di domain software development. Memiliki minat pada cloud machine_learning business_analysis it_support, pengalaman proyek digital, dan mencari lowongan yang sesuai skill inti.",Central Business Development Manager - Asset Finance,allica-bank,0,,,,"grade 0=irrelevant, 1=marginal, 2=relevant, 3=highly relevant"
20260607_sbert_final_validation-ann-0056,sbert-v2-profile-04205,sbert-v2-job-967e5c2c5d7247805946,"Mahasiswa atau early-career candidate untuk Cloud Devops di domain software development. Memiliki minat pada cloud machine_learning business_analysis it_support, pengalaman proyek digital, dan mencari lowongan yang sesuai skill inti.",Customer Success Manager,artisan,0,,,,"grade 0=irrelevant, 1=marginal, 2=relevant, 3=highly relevant"
20260607_sbert_final_validation-ann-0057,sbert-v2-profile-04205,sbert-v2-job-ecad6f37010068cbafc0,"Mahasiswa atau early-career candidate untuk Cloud Devops di domain software development. Memiliki minat pada cloud machine_learning business_analysis it_support, pengalaman proyek digital, dan mencari lowongan yang sesuai skill inti.",AI Engineer,cytora.com,1,,,,"grade 0=irrelevant, 1=marginal, 2=relevant, 3=highly relevant"
20260607_sbert_final_validation-ann-0058,sbert-v2-profile-04205,sbert-v2-job-db6cb92885e0efc47985,"Mahasiswa atau early-career candidate untuk Cloud Devops di domain software development. Memiliki minat pada cloud machine_learning business_analysis it_support, pengalaman proyek digital, dan mencari lowongan yang sesuai skill inti.",Enterprise Account Executive - East,cloudzero,1,,,,"grade 0=irrelevant, 1=marginal, 2=relevant, 3=highly relevant"
20260607_sbert_final_validation-ann-0059,sbert-v2-profile-04205,sbert-v2-job-324ccb0daa1359a714c0,"Mahasiswa atau early-career candidate untuk Cloud Devops di domain software development. Memiliki minat pada cloud machine_learning business_analysis it_support, pengalaman proyek digital, dan mencari lowongan yang sesuai skill inti.",Initiativbewerbung,buildlinx,1,,,,"grade 0=irrelevant, 1=marginal, 2=relevant, 3=highly relevant"
20260607_sbert_final_validation-ann-0060,sbert-v2-profile-04205,sbert-v2-job-7b0622e113f6966fb309,"Mahasiswa atau early-career candidate untuk Cloud Devops di domain software development. Memiliki minat pada cloud machine_learning business_analysis it_support, pengalaman proyek digital, dan mencari lowongan yang sesuai skill inti.","Mobile Dog Groomer - Charleston, SC",barkbus,1,,,,"grade 0=irrelevant, 1=marginal, 2=relevant, 3=highly relevant"
20260607_sbert_final_validation-ann-0061,sbert-v2-profile-04206,sbert-v2-job-9ab8fb2c4a3ad46a63ba,"Mahasiswa atau early-career candidate untuk Frontend di domain software development. Memiliki minat pada frontend machine_learning javascript data_analysis, pengalaman proyek digital, dan mencari lowongan yang sesuai skill inti.",Apprenticeship - Actuarial Success Manager (ASM),akur8,3,,,,"grade 0=irrelevant, 1=marginal, 2=relevant, 3=highly relevant"
20260607_sbert_final_validation-ann-0062,sbert-v2-profile-04206,sbert-v2-job-55d28d089c8ccaf1b93b,"Mahasiswa atau early-career candidate untuk Frontend di domain software development. Memiliki minat pada frontend machine_learning javascript data_analysis, pengalaman proyek digital, dan mencari lowongan yang sesuai skill inti.",Web Maintenance Project Manager,Blacksmith Agency,0,,,,"grade 0=irrelevant, 1=marginal, 2=relevant, 3=highly relevant"
20260607_sbert_final_validation-ann-0063,sbert-v2-profile-04206,sbert-v2-job-c4365ec1784b800b81a7,"Mahasiswa atau early-career candidate untuk Frontend di domain software development. Memiliki minat pada frontend machine_learning javascript data_analysis, pengalaman proyek digital, dan mencari lowongan yang sesuai skill inti.",Founding Clinician- Endocrinology,3y-health,0,,,,"grade 0=irrelevant, 1=marginal, 2=relevant, 3=highly relevant"
20260607_sbert_final_validation-ann-0064,sbert-v2-profile-04206,sbert-v2-job-ffbbf9375edc64aea1ae,"Mahasiswa atau early-career candidate untuk Frontend di domain software development. Memiliki minat pada frontend machine_learning javascript data_analysis, pengalaman proyek digital, dan mencari lowongan yang sesuai skill inti.",Legal Administrative Assistant,barnes,1,,,,"grade 0=irrelevant, 1=marginal, 2=relevant, 3=highly relevant"
20260607_sbert_final_validation-ann-0065,sbert-v2-profile-04207,sbert-v2-job-de8782fbb073ec70ede0,"Mahasiswa atau early-career candidate untuk Data Analysis di domain data ai. Memiliki minat pada data_analysis machine_learning business_analysis digital_marketing, pengalaman proyek digital, dan mencari lowongan yang sesuai skill inti.",Client Success Executive,centivo,3,,,,"grade 0=irrelevant, 1=marginal, 2=relevant, 3=highly relevant"
20260607_sbert_final_validation-ann-0066,sbert-v2-profile-04207,sbert-v2-job-1d74db9dbb8bce9a5358,"Mahasiswa atau early-career candidate untuk Data Analysis di domain data ai. Memiliki minat pada data_analysis machine_learning business_analysis digital_marketing, pengalaman proyek digital, dan mencari lowongan yang sesuai skill inti.","Software Engineer, GenAI",abridge,0,,,,"grade 0=irrelevant, 1=marginal, 2=relevant, 3=highly relevant"
20260607_sbert_final_validation-ann-0067,sbert-v2-profile-04207,sbert-v2-job-c69e9f032c09f85e5732,"Mahasiswa atau early-career candidate untuk Data Analysis di domain data ai. Memiliki minat pada data_analysis machine_learning business_analysis digital_marketing, pengalaman proyek digital, dan mencari lowongan yang sesuai skill inti.",Legal Analyst,9fin,0,,,,"grade 0=irrelevant, 1=marginal, 2=relevant, 3=highly relevant"
